id,name,description,unit_price,image_url,category_id
1,PSYCHO ONE 3/2MM BACK ZIP FULL WETSUIT,The Unparalleled Premium in Lightweight Flexibility. Patented Z.E.N. Zip Closure (Back Zip). Anti-Flush Barrier (Z.E.N. Zip).,379.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4964_A00_F_WEB_860x.jpg?v=1581484232,2
2,PSYCHO ONE 4/3MM BACK ZIP FULL WETSUIT,The Unparalleled Premium in Lightweight Flexibility. Patented Z.E.N. Zip Closure (Back Zip). Anti-Flush Barrier (Z.E.N. Zip). Minimal Seam Design. Seamless Paddle Zones.,399.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4965-a00-f_1920x.jpg?v=1581484230,2
3,PSYCHO TECH 3/2+MM BACK ZIP FULL WETSUIT,O'Neill's Psycho Tech combines our exclusive TechnoButter 3 and added heat-generating TechnoButter Air-Firewall. It's offered in a wide range of styles with the hi-tech features you need to stay warm and toasty in any condition.,469.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5334-a00-f_1080x.jpg?v=1581485377,2
4,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.,139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_A00_F_WEB_860x.jpg?v=1581484281,2
5,HEAT 3/2MM BACK ZIP FULL WETSUIT,"The Heat is stuffed with high-end features and materials: Now built with TechnoButter 3 Neoprene,TechnoButter Firewall in the chest and back, this makes the suit warmer and more flexible than ever before.",339.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5341_A00_F_WEB_1920x.jpg?v=1581485389,2
6,HYPERFREAK 4/3MM COMP ZIPLESS FULL WETSUIT,"O'Neill's Zipless Entry wetsuit is the most unique, light weight, fully sealed wetsuit on the market. This advanced technology allows you preform at the highest level with materials so comfortable and light, you'd swear you were surfing naked.
",319.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4971-a00-fromt_1920x.jpg?v=1581484242,2
7,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.,139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_EJ7_F_WEB_860x.jpg?v=1581484283,2
8,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,"The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_L43_F_WEB_1440x.jpg?v=1600132293,2
9,HYPERFREAK 5/4+MM CHEST ZIP W/HOOD FULL WETSUIT,O'Neill's PsycThe HyperFreak F.U.Z.E. (Chest Zip) is constructed with super light TechnoButter 3 and TechnoButter 3X neoprene. ,389.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5346-a00-f_a336d561-ee1a-40be-87ef-6f7b13dec854_1920x.jpg?v=1581485391,2
10,EPIC 3/2MM BACK ZIP FULL WETSUIT,"The Epic has many of the same great features as our high-end wetsuits including UltraFlex Neoprene, double seal neck closure, LSD (lumbar seamless design) and re-engineered covert blackout zip.",194.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4211B_GR1_1_1440x.jpg?v=1600133855,2
11,HYPERFREAK 3/2MM COMP ZIPLESS FULL WETSUIT,"O'Neill's Zipless Entry wetsuit is the most unique, light weight, fully sealed wetsuit on the market. This advanced technology allows you preform at the highest level with materials so comfortable and light, you'd swear you were surfing naked.
",329.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4970_GP9_1_1440x.jpg?v=1614799310,2
12,HYPERFREAK 4/3+MM CHEST ZIP FULL WETSUIT,The HyperFreak F.U.Z.E. (Chest Zip) is constructed with super light TechnoButter 3 and TB3X neoprene. We added 0.5mm thicker material as a step-up from the HyperFreak Comp. ,349.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5344_GP8_1_1440x.jpg?v=1600133855,2
13,WOMEN'S NINJA 3/2MM CHEST ZIP FULL WETSUIT,"New for 2021 The Ninja Series offers high end quality features exceptional durability and lasting value. Featuring UltraFlex neoprene for freedom of moment, DL FluidFlex Firewall insulation
",259.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5472_A00_P_1_1440x.jpg?v=1627679544,2
14,WOMEN'S REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,"The newly upgraded REACTOR-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5042_C09_F_WEB_860x.jpg?v=1600127253,2
15,WOMEN'S BAHIA 3/2MM BACK ZIP FULL WETSUIT,"The O'Neill Bahia is designed for a new generation of athletes that want to bring beauty, personality and confidence to the water.
",134.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5292_A05_F_WEB_1920x.jpg?v=1600129705,2
16,REACTOR-2 2MM BACK ZIP S/S SPRING WETSUIT,"The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",104.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5041_EJ7_F_WEB_860x.jpg?v=1581484286,2
17,WOMEN'S BAHIA 2/1MM FRONT ZIP L/S SURF SUIT,"The O'Neill Bahia is designed for a new generation of athletes that want to bring beauty, personality and confidence to the water.
",119.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5363_GJ2_F_WEB_1440x.jpg?v=1600132308,2
18,WOMEN'S REACTOR-2 1.5MM SLEEVELESS FULL WETSUIT,"The newly upgraded REACTOR-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",124.95,https://cdn.shopify.com/s/files/1/2034/7683/products/3as54c_1920x.jpg?v=1600129708,2
19,WOMEN'S REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,"The newly upgraded REACTOR-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5042_Z94_F_WEB_860x.jpg?v=1600127213,2
20,WOMEN'S EPIC 4/3MM BACK ZIP FULL WETSUIT,"The Epic has many of the same great features as our high-end wetsuits, including 100% UltraFlex Neoprene, double seal neck closure",204.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4214_GQ7_1_1440x.jpg?v=1600133860,2
21,WOMEN'S BAHIA 3/2MM BACK ZIP FULL WETSUIT,"The O'Neill Bahia is designed for a new generation of athletes that want to bring beauty, personality and confidence to the water.
",134.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5292_GJ2_F_WEB_1440x.jpg?v=1600132310,2
22,WOMEN'S PSYCHO TECH 5.5/4MM CHEST ZIP FULL W/HOOD WETSUIT,The Perfect Balance of Warmth and Flexibility. F.U.Z.E. Closure (Chest Zip). Redzone Water Resistant Zipper. 360 Barrier With Drain Holes (F.U.Z.E.). Super Seal Cuffs. Stitch-less Seam Construction.,499.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5340-a00-f_1920x.jpg?v=1600130935,2
23,YOUTH REACTOR-2 2MM BACK ZIP S/S SPRING WETSUIT,The newly upgraded REACTOR-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.,89.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5045-L43-FORNT_1920x.jpg?v=1581484302,2
24,TODDLER REACTOR-2 2MM BACK ZIP S/S SPRING WETSUIT,"The newly upgraded REACTOR-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",79.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4867-ej9-f_325f6672-ca8c-40df-bc13-8bafb1121a8f_1920x.jpg?v=1581484230,2
25,TODDLER O'ZONE S/S SPRING WETSUIT,"World-renowned O'Neill quality at value-driven prices. The Basic Skins offers U.P.F. 50+ Ultraviolet Protection with cleanly designed graphics and minimal seam placement for rash prevention.
",34.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5298_GE2_F_WEB_1440x.jpg?v=1600132286,2
26,TORQ M2 TEC SURFBOARD - FUTURES,"Length: 7'0"", Width: 21"", Thickness: 2 5/8"", Volume: 43.9, Tail Shape: Round",610,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/torq_m2_blu_5000x.jpg?v=1641911542,1
27,CHILLI GROM+ TWIN TECH EPS SURFBOARD - FCS II,"N.A
",825,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/ChilliGrom_5000x.jpg?v=1640963992,1
28,CHILLI SUGAR SURFBOARD - FCS II,"N.A
",850,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/Sugar5_4_5000x.jpg?v=1640963427,1
29,PAT MADDEN DATIL FISH SURFBOARD - FCS II,"Length: 5'9"", Width 20.5"", Thickness: 2.5"", Volume: 38.3L, Tail Shape: Swallow",600,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/madden_datil_5000x.jpg?v=1640290777,1
30,PLASTIC FANTASTIC DOUBLE WING SWALLOW SURFBOARD,"The Plastic Fantastic Surfboard Company was established in 1968, and built surfboards in small factories in Hawaii and California. These boards are known for their vibrant colors, and retro single-fin shape from the 1970s",840,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/pf_swallow_5000x.jpg?v=1640121903,1
31,FARINA MID LENGTH CRISIS SURFBOARD - FCS II,"Length: 6'10"", Width: 21 1/2"", Thickness: 3"", Volume: 44, Fin Setup: 2+1 FCS II",620,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/Mid6_10_5000x.jpg?v=1639696615,1
32,JS BLAK BOX 3 SQUASH HYFI EASY RIDER SURFBOARD - FUTURES,"Length: 5'6"", Width: 19 1/4"", Thickness: 2 3/8"", Volume: 26.8L, Tail Shape: Squash",825,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/js_blak_box_3_5000x.jpg?v=1641221524,1
33,JS BIG BARON PE CARBON FUSION SURFBOARD - FCS II,"Length: 7'6"", Width: 21 3/4"", Thickness: 2 7/8"", Volume: 50L",1010,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/js_big_baron_5000x.png?v=1639067899,1
34,CHILLI A2 SURFBOARD - FCS II,"Length: 5'9"", Width: 18 5/8"", Thickness: 2 1/4"", Volume: 26",725,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/chilli_a2_fcs_5000x.jpg?v=1639007567,1
35,LOST HYDRA LIGHT SPEED SURFBOARD - FUTURES,"Length: 5'4"", Width: 20.50"", Thickness: 2.35"", Volume: 29.5L",860,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/hydra_ls_fut_5000x.jpg?v=1639510740,1
36,CHANNEL ISLANDS MID DISCOUNT SURFBOARD,"Length: 7'2"", Width: 21 1/4"", Thickness: 2 13/16"", Volume: 47.3",1399,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/ci_mid_blu_new_f531afeb-ffc6-48df-8e44-d0f76fc01907_5000x.jpg?v=1637596914,1
37,FIREWIRE GREEDY BEAVER TIMBERTEK SURFBOARD - FUTURES,"N.A
",880,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/tt_g_beaver_5000x.jpg?v=1637173583,1
38,NEILSON MID-LENGTH SURFBOARD,"Length: 7'10"", Width: 22 1/8"", Thickness: 3 1/8"" The Neilson Mid-Length Surfboard is a foiled nose and tail with double concaves for speed and drive. Good for floatation, paddling, learning to surf. ",825,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/neilson_midlength_5000x.png?v=1637172023,1
39,FARINA X SURF STATION SUPER 8 SURFBOARD,"Length: 8', Width: 23"", Thickness: 2 7/8""",685,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/ss_farina_grn_5000x.jpg?v=1635178124,1
40,TORMENTER FLYING FISH II SURFBOARD,"Length: 6', Width: 22"", Thickness: 2 11/16"", Volume: 38.8L",468,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/Flying_Fish_Green_6_d0f0cb46-95ee-42da-964e-46f0dc81e689_5000x.jpg?v=1632851365,1
41,PYZEL MINI GHOST ROUND SURFBOARD - FCS II,"N.A
",920,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/pyzel_mini_ghost_red_5000x.png?v=1637621544,1
42,PLASTIC FANTASTIC SINGLE FIN SURFBOARD,"The Plastic Fantastic Surfboard Company was established in 1968, and built surfboards in small factories in Hawaii and California. These boards are known for their vibrant colors, and retro single-fin shape from the 1970s.",1016,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/plastic_fantastic_pnk_blu_5000x.jpg?v=1632848121,1
43,KAI SALLAS WAIKIKI THUNDERBOLT SILVER SURFBOARD,"Length: 9'6"", Width: 23"", Thickness: 3"", Volume: 77.2",1250,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/Kai_Sallas_Waikiki_Silver_5000x.jpg?v=1633964539,1
44,CJ NELSON DESIGNS SPROUT THUNDERBOLT SILVER LONGBOARD,"Length: 9'2"", Width: 23"", Thickness: 3"", Volume: 74.5",1225,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/CJNelsonSproutYellow_5000x.jpg?v=1631902697,1
45,SMTH SHAPES THE VOLUME DARK ARTS SURFBOARD - FUTURES,"Length: 5'9"", Width: 18 5/8"", Thickness: 2 1/8"", Volume: 25.8L",1295,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/smth_volume_5000x.jpg?v=1631642773,1
46,"Length: 5'9"", Width: 18 5/8"", Thickness: 2 1/8"", Volume: 25.8L","N.A
",659,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/kech_stubfish-67_5000x.jpg?v=1638230659,1
47,CHANNEL ISLANDS TWO HAPPY SPINE-TEK SURFBOARD - FCS II,"Length: 6'1"", Width: 19 1/4"", Thickness: 2 1/8"", Volume: 30.6",955,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/ci_two_happy_spine_fcs_5000x.jpg?v=1629898684,1
48,CHILLI FADED SURFBOARD - FUTURES,"Length: 6'10"", Width: 18 3/8"", Thickness: 2 5/16""",730,https://cdn.shopify.com/s/files/1/0003/1902/9309/products/chilli_faded_610_5000x.jpg?v=1641137345,1
49,SQUID LID 3MM HOOD,"Anatomical Fit, Wind-Proof Smoothskin, Trimmable Visor - Blocks sun and channels water away from eyes, Strap-Free Design",49.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5110_1920x.jpg?v=1581484332,3
50,PSYCHO COLDWATER 3MM HOOD,"Anatomical Fit, Wind-Proof Smoothskin, TechnoButter Firewall, Trimmable Visor - Blocks sun and channels water away from eyes",54.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4981_2f2e267e-5ae7-4d00-bd81-4b4befa1debc_1920x.jpg?v=1581484230,3
51,PSYCHO FREAK ST 3.5MM BOOT,"Arch Support for better board contact, Deep Split Toe for improved balance, Leash-Stop Toe Guard, Shin and Arch Strap",89.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4979-b82-f_1920x.jpg?v=1581484334,3
52,HEAT RT 3MM BOOT,"Durable Outsole, Round Toe Design, Anti-Flush Shin Strap, Heel Pull",49.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4788_1920x.jpg?v=1581484199,3
53,PSYCHO TECH 1.5MM GLOVE,"Anatomical Fit, Wind-Proof Smoothskin, Hydrophobic Technobutter 3, TechnoButter Firewall",54.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5103-blk-f_1920x.jpg?v=1581484338,3
54,PSYCHO TECH 5MM LOBSTER GLOVE,"Anatomical Fit, Wind-Proof Smoothskin, Hydrophobic Technobutter 3, TechnoButter Firewall",64.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5108-002-f_1920x.jpg?v=1581484333,3
55,SPORT 2MM CAP,"Anatomical Fit, Wind-Proof Smoothskin, TechnoButter Firewall, Trimmable Visor - Blocks sun and channels water away from eyes",39.95,https://cdn.shopify.com/s/files/1/2034/7683/products/3377_8de70f04-3361-4623-9fd7-4c5849306767_1920x.jpg?v=1581484332,3
56,NEOPRENE 2MM BEANIE,"Anatomical Fit, Interior: Elastic Loop at Rear for Drawcord Attachment",34.95,https://cdn.shopify.com/s/files/1/2034/7683/products/3671-002_1920x.jpg?v=1581484242,3
57,THERMO-X S/S CREW,"Maximum Base-Layer Insulation, 4-Way Stretch Fabric, Water Repellency, Odor Resistance",53.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5021-002-f_1920x.jpg?v=1581484231,3
58,ASSAULT USCG VEST,"USCG Approved, #10 YKK Zipper with Safety Tab, Anatomical Flex Points, Concealed Dual Belt System",119.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4498-b56-f_1920x.jpg?v=1581484213,3
59,SLASHER COMP VEST,Nytrolite Foam Technology. Low Density Polyethylene which is expanded using Nitrogen in an exclusive process which cannot be duplicated. 3x lighter than PVC foam.,139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/497-fr1-f_1920x.jpg?v=1581484607,3
60,VOYAGER BACKPACK,"28L Volume, 600D Polyester, Two large inner compartments, Quick access front stash pocket",55,https://cdn.shopify.com/s/files/1/2034/7683/products/FA1195000_HGR_P_1_1080x.jpg?v=1620084300,3
61,PHLUFF DADDY SANDALS,"Soft brushed upper
Soft brushed footbed
Anatomical arch support",20,https://cdn.shopify.com/s/files/1/2034/7683/products/phluffdaddy_SP9184005_dbr_f_243f5140-6ed9-4c6c-a49a-b60b79b79165_1080x.jpg?v=1581484444,3
62,SONOMA TRAPEA HAT,"Classic logo patch, Drawcord with cord lock, 100% Straw",32,https://cdn.shopify.com/s/files/1/2034/7683/products/SP1192002_NAT_S_2_1080x.jpg?v=1611079732,3